reviewer_id,review_round,variant_id,comic_format,item_type,item_id,shot_id,source_text,layout_ok,crop_ok,balloon_geometry_ok,balloon_type_ok,reading_order_ok,subject_occlusion_ok,text_fit_ok,adjustment_notes,evidence_path
,,fix-v02-vertical,vertical_scroll,required_balloon,fix-v02-vertical_dialogue_03_1,fix-v02-vertical_shot_03,这里面有仓库的原始监控。,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,fix-v02-vertical_dialogue_04_1,fix-v02-vertical_shot_04,你为什么现在才给我？,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,fix-v02-vertical_dialogue_05_1,fix-v02-vertical_shot_05,因为昨晚之前，我还以为他活着。,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,fix-v02-vertical_dialogue_06_1,fix-v02-vertical_shot_06,我会查清楚。,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,fix-v02-vertical_dialogue_07_1,fix-v02-vertical_shot_07,不是我的车。,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v02-vertical,vertical_scroll,required_balloon,fix-v02-vertical_dialogue_08_1,fix-v02-vertical_shot_08,关灯，走后门！,,,,,,,,,outputs/fix-v02-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,fix-v03-vertical_panel_1,fix-v03-vertical_shot_01,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,fix-v03-vertical_panel_2,fix-v03-vertical_shot_02,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,fix-v03-vertical_panel_3,fix-v03-vertical_shot_03,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,fix-v03-vertical_panel_4,fix-v03-vertical_shot_04,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,fix-v03-vertical_panel_5,fix-v03-vertical_shot_05,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,fix-v03-vertical_panel_6,fix-v03-vertical_shot_06,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,panel,fix-v03-vertical_panel_7,fix-v03-vertical_shot_07,,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,fix-v03-vertical_caption_01,fix-v03-vertical_shot_01,八码头东侧。,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,fix-v03-vertical_dialogue_02_1,fix-v03-vertical_shot_02,别停！,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,fix-v03-vertical_dialogue_04_1,fix-v03-vertical_shot_04,抓紧我！,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,fix-v03-vertical_dialogue_06_1,fix-v03-vertical_shot_06,先拿卡！,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v03-vertical,vertical_scroll,required_balloon,fix-v03-vertical_caption_07,fix-v03-vertical_shot_07,远处终于响起警笛。,,,,,,,,,outputs/fix-v03-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,fix-v04-vertical_panel_1,fix-v04-vertical_shot_01,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,fix-v04-vertical_panel_2,fix-v04-vertical_shot_02,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,fix-v04-vertical_panel_3,fix-v04-vertical_shot_03,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,fix-v04-vertical_panel_4,fix-v04-vertical_shot_04,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,fix-v04-vertical_panel_5,fix-v04-vertical_shot_05,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,fix-v04-vertical_panel_6,fix-v04-vertical_shot_06,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,fix-v04-vertical_panel_7,fix-v04-vertical_shot_07,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,panel,fix-v04-vertical_panel_8,fix-v04-vertical_shot_08,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,fix-v04-vertical_caption_01,fix-v04-vertical_shot_01,同一时间，旧港。,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,fix-v04-vertical_dialogue_02_1,fix-v04-vertical_shot_02,他们提前来了。,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,fix-v04-vertical_caption_03,fix-v04-vertical_shot_03,市档案馆。,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,fix-v04-vertical_dialogue_04_1,fix-v04-vertical_shot_04,林舟，你最好已经看到那段录像。,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,fix-v04-vertical_caption_05,fix-v04-vertical_shot_05,城北高架，距离档案馆三公里。,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,fix-v04-vertical_dialogue_06_1,fix-v04-vertical_shot_06,信号刚刚消失。,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,fix-v04-vertical_dialogue_07_1,fix-v04-vertical_shot_07,下一个出口，去档案馆！,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,fix-v04-vertical_caption_08,fix-v04-vertical_shot_08,咔。,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-p01-paged,paged_comic,panel,fix-p01-paged_panel_1,fix-p01-paged_shot_01,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,panel,fix-p01-paged_panel_2,fix-p01-paged_shot_02,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,panel,fix-p01-paged_panel_3,fix-p01-paged_shot_03,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,panel,fix-p01-paged_panel_4,fix-p01-paged_shot_04,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,panel,fix-p01-paged_panel_5,fix-p01-paged_shot_05,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,panel,fix-p01-paged_panel_6,fix-p01-paged_shot_06,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,required_balloon,fix-p01-paged_dialogue_01_1,fix-p01-paged_shot_01,我们从七码头那晚开始。,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,required_balloon,fix-p01-paged_dialogue_02_1,fix-p01-paged_shot_02,我那天没有值班。,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,required_balloon,fix-p01-paged_dialogue_03_1,fix-p01-paged_shot_03,可你的声音在这里。,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,required_balloon,fix-p01-paged_dialogue_04_1,fix-p01-paged_shot_04,那不是完整录音！,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,required_balloon,fix-p01-paged_dialogue_05_1,fix-p01-paged_shot_05,那你告诉我缺了哪一段。,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,required_balloon,fix-p01-paged_dialogue_06_1,fix-p01-paged_shot_06,他们把船开进来时，赵妍已经在仓库里了。,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p02-paged,paged_comic,panel,fix-p02-paged_panel_1,fix-p02-paged_shot_01,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,panel,fix-p02-paged_panel_2,fix-p02-paged_shot_02,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,panel,fix-p02-paged_panel_3,fix-p02-paged_shot_03,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,panel,fix-p02-paged_panel_4,fix-p02-paged_shot_04,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,panel,fix-p02-paged_panel_5,fix-p02-paged_shot_05,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,fix-p02-paged_dialogue_01_1,fix-p02-paged_shot_01,录像只能说明有人进过仓库。,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,fix-p02-paged_dialogue_01_2,fix-p02-paged_shot_01,那艘船才是关键！,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,fix-p02-paged_dialogue_02_1,fix-p02-paged_shot_02,许澄，你还瞒了什么？,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,fix-p02-paged_dialogue_02_2,fix-p02-paged_shot_02,一份没有入库的乘员名单。,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,fix-p02-paged_dialogue_03_1,fix-p02-paged_shot_03,里面的人，别动。,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,fix-p02-paged_dialogue_04_1,fix-p02-paged_shot_04,高远守后门，其他人跟我走。,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,fix-p02-paged_dialogue_05_1,fix-p02-paged_shot_05,等等，这不是我们刚才的画面。,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,fix-p03-paged_panel_1,fix-p03-paged_shot_01,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,fix-p03-paged_panel_2,fix-p03-paged_shot_02,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,fix-p03-paged_panel_3,fix-p03-paged_shot_03,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,fix-p03-paged_panel_4,fix-p03-paged_shot_04,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,fix-p03-paged_panel_5,fix-p03-paged_shot_05,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,fix-p03-paged_panel_6,fix-p03-paged_shot_06,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,fix-p03-paged_panel_7,fix-p03-paged_shot_07,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,required_balloon,fix-p03-paged_dialogue_03_1,fix-p03-paged_shot_03,趴下！,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,required_balloon,fix-p03-paged_dialogue_06_1,fix-p03-paged_shot_06,名单……还在我这里。,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,required_balloon,fix-p03-paged_caption_07,fix-p03-paged_shot_07,烟尘之外，有人没有离开。,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p04-paged,paged_comic,panel,fix-p04-paged_panel_1,fix-p04-paged_shot_01,,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,panel,fix-p04-paged_panel_2,fix-p04-paged_shot_02,,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,panel,fix-p04-paged_panel_3,fix-p04-paged_shot_03,,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,panel,fix-p04-paged_panel_4,fix-p04-paged_shot_04,,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,fix-p04-paged_dialogue_01_1,fix-p04-paged_shot_01,那天我本来应该在七码头值夜班，可调度室临时收到一张没有署名的换班单，上面写着让我去旧仓库检查一批已经报废的救生设备。,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,fix-p04-paged_caption_01,fix-p04-paged_shot_01,高远的证词，从一场看似普通的换班开始。,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,fix-p04-paged_dialogue_02_1,fix-p04-paged_shot_02,仓库里没有救生设备，只有一艘拆掉编号的小艇，还有三个人在搬没有登记的木箱。,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,fix-p04-paged_caption_02,fix-p04-paged_shot_02,他没有注意到，门锁刚被人换过。,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,fix-p04-paged_dialogue_03_1,fix-p04-paged_shot_03,你说看不清他们的脸，可这张照片里，你正对着其中一个人。请你再想一次，他有没有叫过别人的名字？,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,fix-p04-paged_dialogue_03_2,fix-p04-paged_shot_03,有。他叫了一声‘赵队’，但我不知道是不是赵妍，也可能只是同姓。,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,fix-p04-paged_dialogue_04_1,fix-p04-paged_shot_04,我记得那个人的右手。他少了一截小指，而且一直戴着一枚黑色戒指。,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,fix-p04-paged_caption_04,fix-p04-paged_shot_04,沉默持续了整整十秒。,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-x01-vertical,vertical_scroll,panel,fix-x01-vertical_panel_1,fix-x01-vertical_shot_01,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-vertical,vertical_scroll,panel,fix-x01-vertical_panel_2,fix-x01-vertical_shot_02,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-vertical,vertical_scroll,panel,fix-x01-vertical_panel_3,fix-x01-vertical_shot_03,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-vertical,vertical_scroll,panel,fix-x01-vertical_panel_4,fix-x01-vertical_shot_04,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-vertical,vertical_scroll,panel,fix-x01-vertical_panel_5,fix-x01-vertical_shot_05,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-paged,paged_comic,panel,fix-x01-paged_panel_1,fix-x01-paged_shot_01,,,,,,,,,,outputs/fix-x01-paged/page-0001.png
,,fix-x01-paged,paged_comic,panel,fix-x01-paged_panel_2,fix-x01-paged_shot_02,,,,,,,,,,outputs/fix-x01-paged/page-0001.png
,,fix-x01-paged,paged_comic,panel,fix-x01-paged_panel_3,fix-x01-paged_shot_03,,,,,,,,,,outputs/fix-x01-paged/page-0001.png
,,fix-x01-paged,paged_comic,panel,fix-x01-paged_panel_4,fix-x01-paged_shot_04,,,,,,,,,,outputs/fix-x01-paged/page-0001.png
,,fix-x01-paged,paged_comic,panel,fix-x01-paged_panel_5,fix-x01-paged_shot_05,,,,,,,,,,outputs/fix-x01-paged/page-0001.png
,,fix-x02-vertical,vertical_scroll,panel,fix-x02-vertical_panel_1,fix-x02-vertical_shot_01,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,panel,fix-x02-vertical_panel_2,fix-x02-vertical_shot_02,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,panel,fix-x02-vertical_panel_3,fix-x02-vertical_shot_03,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,panel,fix-x02-vertical_panel_4,fix-x02-vertical_shot_04,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,required_balloon,fix-x02-vertical_caption_01,fix-x02-vertical_shot_01,末班车已经离站。,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,required_balloon,fix-x02-vertical_dialogue_02_1,fix-x02-vertical_shot_02,名单不在存储卡里。,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,required_balloon,fix-x02-vertical_dialogue_03_1,fix-x02-vertical_shot_03,那它在哪里？,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,required_balloon,fix-x02-vertical_dialogue_04_1,fix-x02-vertical_shot_04,一直都在所有人看得见的地方。,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-paged,paged_comic,panel,fix-x02-paged_panel_1,fix-x02-paged_shot_01,,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,panel,fix-x02-paged_panel_2,fix-x02-paged_shot_02,,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,panel,fix-x02-paged_panel_3,fix-x02-paged_shot_03,,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,panel,fix-x02-paged_panel_4,fix-x02-paged_shot_04,,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,required_balloon,fix-x02-paged_caption_01,fix-x02-paged_shot_01,末班车已经离站。,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,required_balloon,fix-x02-paged_dialogue_02_1,fix-x02-paged_shot_02,名单不在存储卡里。,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,required_balloon,fix-x02-paged_dialogue_03_1,fix-x02-paged_shot_03,那它在哪里？,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,required_balloon,fix-x02-paged_dialogue_04_1,fix-x02-paged_shot_04,一直都在所有人看得见的地方。,,,,,,,,,outputs/fix-x02-paged/page-0001.png
