reviewer_id,review_round,variant_id,comic_format,item_type,item_id,shot_id,source_text,layout_ok,crop_ok,balloon_geometry_ok,balloon_type_ok,reading_order_ok,subject_occlusion_ok,text_fit_ok,tail_ok,shape_safe_ok,adjustment_notes,evidence_path
,,fix-v04-vertical,vertical_scroll,panel,panel_a8eff77722f7cca7d6a6fb3f,fix-v04-vertical_shot_08,,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,balloon_56a38c00602f3db236b39fcf,fix-v04-vertical_shot_06,信号刚刚消失。,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,balloon_018fe06e489f60637d6dec65,fix-v04-vertical_shot_04,林舟，你最好已经看到那段录像。,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,balloon_55b4c6ce54877f120e933f9a,fix-v04-vertical_shot_01,同一时间，旧港。,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,balloon_f4f905c304cd019ecdd5ccaa,fix-v04-vertical_shot_02,他们提前来了。,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,balloon_410f8d95063b1c8255422408,fix-v04-vertical_shot_08,咔。,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,balloon_945c9886556460e27f02d4b8,fix-v04-vertical_shot_07,下一个出口，去档案馆！,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,balloon_4ecf6526a443ca1b6fb2057e,fix-v04-vertical_shot_03,市档案馆。,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-v04-vertical,vertical_scroll,required_balloon,balloon_531b8f7599b8a1d80d566bc5,fix-v04-vertical_shot_05,城北高架，距离档案馆三公里。,,,,,,,,,,,outputs/fix-v04-vertical/long.png
,,fix-p01-paged,paged_comic,panel,panel_bb8e641b7dff53e350c8f953,fix-p01-paged_shot_01,,,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,panel,panel_a86fd3afbb74202c4daf28b9,fix-p01-paged_shot_02,,,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,panel,panel_5494a664bd81daa8c246e91a,fix-p01-paged_shot_03,,,,,,,,,,,,outputs/fix-p01-paged/page-0002.png
,,fix-p01-paged,paged_comic,panel,panel_0f71c8daccda4ed89b8cf9ee,fix-p01-paged_shot_04,,,,,,,,,,,,outputs/fix-p01-paged/page-0002.png
,,fix-p01-paged,paged_comic,panel,panel_d8fa72c42e4b7014eb482bea,fix-p01-paged_shot_05,,,,,,,,,,,,outputs/fix-p01-paged/page-0003.png
,,fix-p01-paged,paged_comic,panel,panel_e8213cec6d4f0e108d3c720e,fix-p01-paged_shot_06,,,,,,,,,,,,outputs/fix-p01-paged/page-0003.png
,,fix-p01-paged,paged_comic,required_balloon,balloon_0561391d57de028e785a0490,fix-p01-paged_shot_05,那你告诉我缺了哪一段。,,,,,,,,,,,outputs/fix-p01-paged/page-0003.png
,,fix-p01-paged,paged_comic,required_balloon,balloon_ee70c304221601f1e37cb276,fix-p01-paged_shot_04,那不是完整录音！,,,,,,,,,,,outputs/fix-p01-paged/page-0002.png
,,fix-p01-paged,paged_comic,required_balloon,balloon_c324683c977ecb52322621e4,fix-p01-paged_shot_06,他们把船开进来时，赵妍已经在仓库里了。,,,,,,,,,,,outputs/fix-p01-paged/page-0003.png
,,fix-p01-paged,paged_comic,required_balloon,balloon_8f6558e9d3452ffaa1e794a5,fix-p01-paged_shot_02,我那天没有值班。,,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,required_balloon,balloon_dce3aa4128f5c5e8018f6445,fix-p01-paged_shot_01,我们从七码头那晚开始。,,,,,,,,,,,outputs/fix-p01-paged/page-0001.png
,,fix-p01-paged,paged_comic,required_balloon,balloon_e43a5999f592d4997ced2f06,fix-p01-paged_shot_03,可你的声音在这里。,,,,,,,,,,,outputs/fix-p01-paged/page-0002.png
,,fix-p02-paged,paged_comic,panel,panel_8f14f6a8fc07d82cfdccb4e8,fix-p02-paged_shot_01,,,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,panel,panel_b48123189e1958049caf706f,fix-p02-paged_shot_02,,,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,panel,panel_3fd50292298085a474f7e473,fix-p02-paged_shot_03,,,,,,,,,,,,outputs/fix-p02-paged/page-0002.png
,,fix-p02-paged,paged_comic,panel,panel_ffa802104df552a620b9ad6b,fix-p02-paged_shot_04,,,,,,,,,,,,outputs/fix-p02-paged/page-0002.png
,,fix-p02-paged,paged_comic,panel,panel_577c28b97fe1379fbaf8b0d7,fix-p02-paged_shot_05,,,,,,,,,,,,outputs/fix-p02-paged/page-0003.png
,,fix-p02-paged,paged_comic,required_balloon,balloon_a46fe0eff0c8f207b8be1f92,fix-p02-paged_shot_03,里面的人，别动。,,,,,,,,,,,outputs/fix-p02-paged/page-0002.png
,,fix-p02-paged,paged_comic,required_balloon,balloon_f705f04758fdbca3d7d596a2,fix-p02-paged_shot_01,那艘船才是关键！,,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,balloon_646df90563a9f1a69ae8c63a,fix-p02-paged_shot_02,一份没有入库的乘员名单。,,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,balloon_3bda36da2504ca898674a40e,fix-p02-paged_shot_04,高远守后门，其他人跟我走。,,,,,,,,,,,outputs/fix-p02-paged/page-0002.png
,,fix-p02-paged,paged_comic,required_balloon,balloon_969b9a9a99a99fe89c51ab64,fix-p02-paged_shot_01,录像只能说明有人进过仓库。,,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,balloon_62f11a360a142b05a6c2908f,fix-p02-paged_shot_02,许澄，你还瞒了什么？,,,,,,,,,,,outputs/fix-p02-paged/page-0001.png
,,fix-p02-paged,paged_comic,required_balloon,balloon_0f794e0212f60b533354c8d1,fix-p02-paged_shot_05,等等，这不是我们刚才的画面。,,,,,,,,,,,outputs/fix-p02-paged/page-0003.png
,,fix-p03-paged,paged_comic,panel,panel_a114d943d289e741d4b545c3,fix-p03-paged_shot_01,,,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,panel_3206c10dd3a2604c414ac65c,fix-p03-paged_shot_02,,,,,,,,,,,,outputs/fix-p03-paged/page-0001.png
,,fix-p03-paged,paged_comic,panel,panel_30c4d32bee4b2c8fa885d492,fix-p03-paged_shot_03,,,,,,,,,,,,outputs/fix-p03-paged/page-0002.png
,,fix-p03-paged,paged_comic,panel,panel_02116b3dd0efa36694ccb82d,fix-p03-paged_shot_04,,,,,,,,,,,,outputs/fix-p03-paged/page-0003.png
,,fix-p03-paged,paged_comic,panel,panel_bb2f25624fe9717925e2acce,fix-p03-paged_shot_05,,,,,,,,,,,,outputs/fix-p03-paged/page-0003.png
,,fix-p03-paged,paged_comic,panel,panel_7aa6ed9b03c28e0bcd8d2e6d,fix-p03-paged_shot_06,,,,,,,,,,,,outputs/fix-p03-paged/page-0003.png
,,fix-p03-paged,paged_comic,panel,panel_137997ab73ea4f56e899ea29,fix-p03-paged_shot_07,,,,,,,,,,,,outputs/fix-p03-paged/page-0004.png
,,fix-p03-paged,paged_comic,required_balloon,balloon_534d9bd331d46d2f7013851f,fix-p03-paged_shot_07,烟尘之外，有人没有离开。,,,,,,,,,,,outputs/fix-p03-paged/page-0004.png
,,fix-p03-paged,paged_comic,required_balloon,balloon_d32a97f067601ba770cd2216,fix-p03-paged_shot_03,趴下！,,,,,,,,,,,outputs/fix-p03-paged/page-0002.png
,,fix-p03-paged,paged_comic,required_balloon,balloon_711f6c0e49662483670928e9,fix-p03-paged_shot_06,名单……还在我这里。,,,,,,,,,,,outputs/fix-p03-paged/page-0003.png
,,fix-p04-paged,paged_comic,panel,panel_5121546cb82c157a147193c9,fix-p04-paged_shot_01,,,,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,panel,panel_6a50c6d13daa07a6b10efe00,fix-p04-paged_shot_02,,,,,,,,,,,,outputs/fix-p04-paged/page-0002.png
,,fix-p04-paged,paged_comic,panel,panel_48c1b36b1da2193931a8d0f8,fix-p04-paged_shot_03,,,,,,,,,,,,outputs/fix-p04-paged/page-0002.png
,,fix-p04-paged,paged_comic,panel,panel_a38d53660fe2c80ded05bd0e,fix-p04-paged_shot_04,,,,,,,,,,,,outputs/fix-p04-paged/page-0003.png
,,fix-p04-paged,paged_comic,required_balloon,balloon_c0e82f10f9dd06de60afe5f0,fix-p04-paged_shot_02,仓库里没有救生设备，只有一艘拆掉编号的小艇，还有三个人在搬没有登记的木箱。,,,,,,,,,,,outputs/fix-p04-paged/page-0002.png
,,fix-p04-paged,paged_comic,required_balloon,balloon_0aded83904d64d6325085cb1,fix-p04-paged_shot_04,沉默持续了整整十秒。,,,,,,,,,,,outputs/fix-p04-paged/page-0003.png
,,fix-p04-paged,paged_comic,required_balloon,balloon_ee5d9f61387875dcaa713322,fix-p04-paged_shot_03,有。他叫了一声‘赵队’，但我不知道是不是赵妍，也可能只是同姓。,,,,,,,,,,,outputs/fix-p04-paged/page-0002.png
,,fix-p04-paged,paged_comic,required_balloon,balloon_9bf39656e0906ee16d5e7ed4,fix-p04-paged_shot_04,我记得那个人的右手。他少了一截小指，而且一直戴着一枚黑色戒指。,,,,,,,,,,,outputs/fix-p04-paged/page-0003.png
,,fix-p04-paged,paged_comic,required_balloon,balloon_a031fa14d93357243c6a676d,fix-p04-paged_shot_01,高远的证词，从一场看似普通的换班开始。,,,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,balloon_89ffcce99b7998a3693261d0,fix-p04-paged_shot_01,那天我本来应该在七码头值夜班，可调度室临时收到一张没有署名的换班单，上面写着让我去旧仓库检查一批已经报废的救生设备。,,,,,,,,,,,outputs/fix-p04-paged/page-0001.png
,,fix-p04-paged,paged_comic,required_balloon,balloon_18514c9d9ecbecf7030e7465,fix-p04-paged_shot_02,他没有注意到，门锁刚被人换过。,,,,,,,,,,,outputs/fix-p04-paged/page-0002.png
,,fix-p04-paged,paged_comic,required_balloon,balloon_a520a091cd566538bcb014be,fix-p04-paged_shot_03,你说看不清他们的脸，可这张照片里，你正对着其中一个人。请你再想一次，他有没有叫过别人的名字？,,,,,,,,,,,outputs/fix-p04-paged/page-0002.png
,,fix-x01-vertical,vertical_scroll,panel,panel_4d644dde38c7a69ebb43c022,fix-x01-vertical_shot_01,,,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-vertical,vertical_scroll,panel,panel_2c1397a16809215fa98ed38f,fix-x01-vertical_shot_02,,,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-vertical,vertical_scroll,panel,panel_c98a62315bd61f3378512fc4,fix-x01-vertical_shot_03,,,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-vertical,vertical_scroll,panel,panel_6cafa0ab7b06bc56e946e871,fix-x01-vertical_shot_04,,,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-vertical,vertical_scroll,panel,panel_6c056557e320d4b20d0f8055,fix-x01-vertical_shot_05,,,,,,,,,,,,outputs/fix-x01-vertical/long.png
,,fix-x01-paged,paged_comic,panel,panel_2d5301e599422248f53a0bf5,fix-x01-paged_shot_01,,,,,,,,,,,,outputs/fix-x01-paged/page-0001.png
,,fix-x01-paged,paged_comic,panel,panel_1f1c5683c3c3ef42f3f7af81,fix-x01-paged_shot_02,,,,,,,,,,,,outputs/fix-x01-paged/page-0001.png
,,fix-x01-paged,paged_comic,panel,panel_b61f857a5381c40a50f02069,fix-x01-paged_shot_03,,,,,,,,,,,,outputs/fix-x01-paged/page-0002.png
,,fix-x01-paged,paged_comic,panel,panel_4266d0c344ad6a0ce35df69e,fix-x01-paged_shot_04,,,,,,,,,,,,outputs/fix-x01-paged/page-0002.png
,,fix-x01-paged,paged_comic,panel,panel_71faef224d2dd4d34a1da828,fix-x01-paged_shot_05,,,,,,,,,,,,outputs/fix-x01-paged/page-0003.png
,,fix-x02-vertical,vertical_scroll,panel,panel_7e83672c94eda89e3f7bdffa,fix-x02-vertical_shot_01,,,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,panel,panel_ef435ad43208029fcf2ea7cb,fix-x02-vertical_shot_02,,,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,panel,panel_0369797f833b4d71d58eff57,fix-x02-vertical_shot_03,,,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,panel,panel_830cde4a767071a51193effb,fix-x02-vertical_shot_04,,,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,required_balloon,balloon_e86b35bb17f96e44155a92ca,fix-x02-vertical_shot_01,末班车已经离站。,,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,required_balloon,balloon_e56d424fad0f0a5766442fb4,fix-x02-vertical_shot_02,名单不在存储卡里。,,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,required_balloon,balloon_4143f7dbab126fd3131fa046,fix-x02-vertical_shot_03,那它在哪里？,,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-vertical,vertical_scroll,required_balloon,balloon_af3069cba5a94ef6993fedce,fix-x02-vertical_shot_04,一直都在所有人看得见的地方。,,,,,,,,,,,outputs/fix-x02-vertical/long.png
,,fix-x02-paged,paged_comic,panel,panel_09b530d0ec50d23d43aa4491,fix-x02-paged_shot_01,,,,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,panel,panel_d77824cdeb2314dbb08bb65c,fix-x02-paged_shot_02,,,,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,panel,panel_37f4285fa6695a81af696c64,fix-x02-paged_shot_03,,,,,,,,,,,,outputs/fix-x02-paged/page-0002.png
,,fix-x02-paged,paged_comic,panel,panel_65571d002e4310e852d53b66,fix-x02-paged_shot_04,,,,,,,,,,,,outputs/fix-x02-paged/page-0002.png
,,fix-x02-paged,paged_comic,required_balloon,balloon_a513f97e87cad5c93377744e,fix-x02-paged_shot_04,一直都在所有人看得见的地方。,,,,,,,,,,,outputs/fix-x02-paged/page-0002.png
,,fix-x02-paged,paged_comic,required_balloon,balloon_591d71f4cfc54e470af93bd7,fix-x02-paged_shot_03,那它在哪里？,,,,,,,,,,,outputs/fix-x02-paged/page-0002.png
,,fix-x02-paged,paged_comic,required_balloon,balloon_f9fc9ecf2f2be1576426643f,fix-x02-paged_shot_02,名单不在存储卡里。,,,,,,,,,,,outputs/fix-x02-paged/page-0001.png
,,fix-x02-paged,paged_comic,required_balloon,balloon_d42d1d0102c23717dc796776,fix-x02-paged_shot_01,末班车已经离站。,,,,,,,,,,,outputs/fix-x02-paged/page-0001.png
